CODICE ATECO 2025;PREFLABEL_IT;PREFLABEL_EN;PREFLABEL_DE
86.93.00;Attività di psicologi e psicoterapeuti, esclusi i medici;Activities of psychologists and psychotherapists, except medical doctors;Erbringung von Dienstleistungen von Psychotherapeutinnen und -therapeuten, klinischen und Gesundheitspsychologinnen und -psychologen, ohne ärztliche Therapien
86.94;Attività infermieristiche e ostetriche;Nursing and midwifery activities;Krankenpflege, Geburtshilfe und Hebammen
86.94.0;Attività infermieristiche e ostetriche;Nursing and midwifery activities;Krankenpflege, Geburtshilfe und Hebammen
86.94.01;Attività infermieristiche;Nursing activities;Krankenpflege
86.94.02;Attività ostetriche;Midwifery activities;Geburtshilfe und Hebammen
86.95;Attività di fisioterapia;Physiotherapy activities;Erbringung von physiotherapeutischen Dienstleistungen
86.95.0;Attività di fisioterapia;Physiotherapy activities;Erbringung von physiotherapeutischen Dienstleistungen
86.95.00;Attività di fisioterapia;Physiotherapy activities;Erbringung von physiotherapeutischen Dienstleistungen
86.96;Attività di medicine complementari e alternative;Traditional, complementary and alternative medicine activities;Traditionelle, komplementäre und alternative medizinische Tätigkeiten
86.96.0;Attività di medicine complementari e alternative;Traditional, complementary and alternative medicine activities;Traditionelle, komplementäre und alternative medizinische Tätigkeiten
86.96.01;Chinesiologia;Kinesiology;Kinesiologie
86.96.09;Attività di medicine complementari e alternative n.c.a.;Traditional, complementary and alternative medicine activities n.e.c.;Traditionelle, komplementäre und alternative medizinische Tätigkeiten a. n. g.
86.97;Attività di servizi di intermediazione per attività mediche, odontoiatriche e altri servizi per la salute umana;Intermediation service activities for medical, dental and other human health services;Vermittlungstätigkeiten für medizinische, zahnärztliche und andere Gesundheitstätigkeiten
86.97.0;Attività di servizi di intermediazione per attività mediche, odontoiatriche e altri servizi per la salute umana;Intermediation service activities for medical, dental and other human health services;Vermittlungstätigkeiten für medizinische, zahnärztliche und andere Gesundheitstätigkeiten
86.97.00;Attività di servizi di intermediazione per attività mediche, odontoiatriche e altri servizi per la salute umana;Intermediation service activities for medical, dental and other human health services;Vermittlungstätigkeiten für medizinische, zahnärztliche und andere Gesundheitstätigkeiten
86.99;Altre attività per la salute umana n.c.a.;Other human health activities n.e.c.;Sonstiges Gesundheitswesen a. n. g.
86.99.0;Altre attività per la salute umana n.c.a.;Other human health activities n.e.c.;Sonstiges Gesundheitswesen a. n. g.
86.99.01;Tecniche di trattamento del corpo;Body treatment techniques;Körperbehandlungstechniken
86.99.02;Danza-movimento terapia;Dance and movement therapy;Tanz- und Bewegungstherapie
86.99.03;Attività di psicomotricità;Psychomotor activities;Psychomotorische Aktivitäten
86.99.09;Altre attività varie per la salute umana n.c.a.;Other various human health activities n.e.c.;Jedes sonstige Gesundheitswesen a. n. g.
87;Attività di assistenza residenziale;Residential care activities;Heime, ohne Erholungs- und Ferienheime
87.1;Attività di assistenza infermieristica residenziale;Residential nursing care activities;Pflegeheime
87.10;Attività di assistenza infermieristica residenziale;Residential nursing care activities;Pflegeheime
87.10.0;Attività di assistenza infermieristica residenziale;Residential nursing care activities;Pflegeheime
87.10.00;Attività di assistenza infermieristica residenziale;Residential nursing care activities;Pflegeheime
87.2;Attività di assistenza residenziale per persone affette da disturbi mentali o abuso di sostanze;Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse;Stationäre Einrichtungen zur psychosozialen Betreuung, Suchtbekämpfung
87.20;Attività di assistenza residenziale per persone affette da disturbi mentali o abuso di sostanze;Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse;Stationäre Einrichtungen zur psychosozialen Betreuung, Suchtbekämpfung
87.20.0;Attività di assistenza residenziale per persone affette da disturbi mentali o abuso di sostanze;Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse;Stationäre Einrichtungen zur psychosozialen Betreuung, Suchtbekämpfung
87.20.00;Attività di assistenza residenziale per persone affette da disturbi mentali o abuso di sostanze;Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse;Stationäre Einrichtungen zur psychosozialen Betreuung, Suchtbekämpfung
87.3;Attività di assistenza residenziale per anziani o persone con disabilità fisiche;Residential care activities for older persons or persons with physical disabilities;Seniorenwohnheime und Wohnheime für Menschen mit Behinderung
87.30;Attività di assistenza residenziale per anziani o persone con disabilità fisiche;Residential care activities for older persons or persons with physical disabilities;Seniorenwohnheime und Wohnheime für Menschen mit Behinderung
87.30.0;Attività di assistenza residenziale per anziani o persone con disabilità fisiche;Residential care activities for older persons or persons with physical disabilities;Seniorenwohnheime und Wohnheime für Menschen mit Behinderung
87.30.00;Attività di assistenza residenziale per anziani o persone con disabilità fisiche;Residential care activities for older persons or persons with physical disabilities;Seniorenwohnheime und Wohnheime für Menschen mit Behinderung
87.9;Altre attività di assistenza residenziale;Other residential care activities;Sonstige Heime, ohne Erholungs- und Ferienheime, und Tätigkeiten für stationäre Betreuung
87.91;Attività di servizi di intermediazione per attività di assistenza residenziale;Intermediation service activities for residential care activities;Vermittlungstätigkeiten für Heime und stationäre Betreuung
87.91.0;Attività di servizi di intermediazione per attività di assistenza residenziale;Intermediation service activities for residential care activities;Vermittlungstätigkeiten für Heime und stationäre Betreuung
87.91.00;Attività di servizi di intermediazione per attività di assistenza residenziale;Intermediation service activities for residential care activities;Vermittlungstätigkeiten für Heime und stationäre Betreuung
87.99;Altre attività di assistenza residenziale n.c.a.;Other residential care activities n.e.c.;Sonstige Heime, ohne Erholungs- und Ferienheime, a. n. g.
87.99.0;Altre attività di assistenza residenziale n.c.a.;Other residential care activities n.e.c.;Sonstige Heime, ohne Erholungs- und Ferienheime, a. n. g.
87.99.00;Altre attività di assistenza residenziale n.c.a.;Other residential care activities n.e.c.;Sonstige Heime, ohne Erholungs- und Ferienheime, a. n. g.
88;Attività di assistenza sociale non residenziale;Social work activities without accommodation;Sozialwesen, ohne Heime
88.1;Attività di assistenza sociale non residenziale per anziani o persone con disabilità;Social work activities without accommodation for older persons or persons with disabilities;Soziale Betreuung von älteren Menschen und von Menschen mit Behinderung
88.10;Attività di assistenza sociale non residenziale per anziani o persone con disabilità;Social work activities without accommodation for older persons or persons with disabilities;Soziale Betreuung von älteren Menschen und von Menschen mit Behinderung
88.10.0;Attività di assistenza sociale non residenziale per anziani o persone con disabilità;Social work activities without accommodation for older persons or persons with disabilities;Soziale Betreuung von älteren Menschen und von Menschen mit Behinderung
88.10.00;Attività di assistenza sociale non residenziale per anziani o persone con disabilità;Social work activities without accommodation for older persons or persons with disabilities;Soziale Betreuung von älteren Menschen und von Menschen mit Behinderung
88.9;Altre attività di assistenza sociale non residenziale;Other social work activities without accommodation;Sonstiges Sozialwesen, ohne Heime
88.91;Attività di assistenza diurna per l'infanzia;Child day-care activities;Tagesbetreuung von Kindern
88.91.0;Attività di assistenza diurna per l'infanzia;Child day-care activities;Tagesbetreuung von Kindern
88.91.00;Attività di assistenza diurna per l'infanzia;Child day-care activities;Tagesbetreuung von Kindern
88.99;Altre attività di assistenza sociale non residenziale n.c.a.;Other social work activities without accommodation n.e.c.;Sonstiges Sozialwesen a. n. g.
88.99.0;Altre attività di assistenza sociale non residenziale n.c.a.;Other social work activities without accommodation n.e.c.;Sonstiges Sozialwesen a. n. g.
88.99.01;Servizi di counselling;Counselling services;Counselling
88.99.02;Consulenza familiare;Marriage and family guidance;Familienberatung
88.99.03;Mediazione culturale e interculturale;Cultural and intercultural mediation activities;Kulturelle und interkulturelle Mediation
88.99.04;Altre attività di assistenza sociale non residenziale fornite da pedagogisti;Social work activities without accommodation provided by pedagogues;Sonstiges nicht stationäres Sozialwesen durch Pädagogen
88.99.09;Altre attività varie di assistenza sociale non residenziale n.c.a.;Other various social work activities without accommodation n.e.c.;Weiteres sonstiges Sozialwesen a. n. g.
S;ATTIVITÀ ARTISTICHE, SPORTIVE E DI DIVERTIMENTO;ARTS, SPORTS AND RECREATION;KUNST, SPORT UND ERHOLUNG
90;Attività di creazione artistica e rappresentazioni artistiche;Arts creation and performing arts activities;Kunstschaffende Tätigkeiten und Tätigkeiten in der darstellenden Kunst
90.1;Attività di creazione artistica;Arts creation activities;Kunstschaffende Tätigkeiten
90.11;Attività di creazione letteraria e composizione musicale;Literary creation and musical composition activities;Literarisches Schaffen und Musikkomposition
90.11.0;Attività di creazione letteraria e composizione musicale;Literary creation and musical composition activities;Literarisches Schaffen und Musikkomposition
90.11.01;Attività di giornalisti indipendenti;Activities of independent journalists;Unabhängiger Journalismus
90.11.02;Attività di blogger indipendenti;Activities of independent bloggers;Unabhängige Blogger
90.11.09;Altre attività di creazione letteraria e composizione musicale;Other literary creation and musical composition activities;Sonstiges literarisches Schaffen und Musikkomposition
90.12;Attività di creazione di arti visive;Visual arts creation activities;Bildende Kunst
90.12.0;Attività di creazione di arti visive;Visual arts creation activities;Bildende Kunst
90.12.00;Attività di creazione di arti visive;Visual arts creation activities;Bildende Kunst
90.13;Altre attività di creazione artistica;Other arts creation activities;Sonstige kunstschaffende Tätigkeiten
90.13.0;Altre attività di creazione artistica;Other arts creation activities;Sonstige kunstschaffende Tätigkeiten
90.13.00;Altre attività di creazione artistica;Other arts creation activities;Sonstige kunstschaffende Tätigkeiten
90.2;Attività di arti performative e rappresentazioni artistiche;Activities of performing arts;Darstellende Kunst
90.20;Attività di arti performative e rappresentazioni artistiche;Activities of performing arts;Darstellende Kunst
90.20.0;Attività di arti performative e rappresentazioni artistiche;Activities of performing arts;Darstellende Kunst
90.20.01;Attività nel campo della recitazione;Activities of acting;Schauspielkunst
90.20.09;Altre attività di arti performative e rappresentazioni artistiche;Other activities of performing arts;Sonstige darstellende Kunst
90.3;Attività di supporto alle creazioni e alle arti performative e rappresentazioni artistiche;Support activities to arts creation and performing arts;Erbringung von Dienstleistungen für kunstschaffende Tätigkeiten und darstellende Künste
90.31;Gestione di strutture e spazi per le arti;Operation of arts facilities and sites;Betrieb von Einrichtungen für kunstschaffende Tätigkeiten und darstellende Künste
90.31.0;Gestione di strutture e spazi per le arti;Operation of arts facilities and sites;Betrieb von Einrichtungen für kunstschaffende Tätigkeiten und darstellende Künste
90.31.00;Gestione di strutture e spazi per le arti;Operation of arts facilities and sites;Betrieb von Einrichtungen für kunstschaffende Tätigkeiten und darstellende Künste
90.39;Altre attività di supporto alle arti performative e alle rappresentazioni artistiche;Other support activities to arts and performing arts;Erbringung von sonstigen Dienstleistungen für kunstschaffende Tätigkeiten und darstellende Künste
90.39.0;Altre attività di supporto alle arti performative e alle rappresentazioni artistiche;Other support activities to arts and performing arts;Erbringung von sonstigen Dienstleistungen für kunstschaffende Tätigkeiten und darstellende Künste
90.39.01;Attività nel campo della regia;Activities of directing;Regietätigkeit
90.39.09;Altre attività di supporto alle arti performative e alle rappresentazioni artistiche n.c.a.;Other support activities to arts and performing arts n.e.c.;Erbringung von sonstigen Dienstleistungen für kunstschaffende Tätigkeiten und darstellende Künste a. n. g.
91;Attività di biblioteche, archivi, musei e altre attività culturali;Libraries, archives, museums and other cultural activities;Bibliotheken, Archive, Museen, botanische und zoologische Gärten
91.1;Attività di biblioteche e archivi;Library and archive activities;Bibliotheken und Archive
91.11;Attività di biblioteche;Library activities;Bibliotheken
91.11.0;Attività di biblioteche;Library activities;Bibliotheken
91.11.00;Attività di biblioteche;Library activities;Bibliotheken
91.12;Attività di archivi;Archive activities;Archive
91.12.0;Attività di archivi;Archive activities;Archive
91.12.00;Attività di archivi;Archive activities;Archive
91.2;Attività di musei, collezioni, luoghi e monumenti storici;Museum, collection, historical site and monument activities;Museen, Sammlungen, historische Stätten und Denkmäler
91.21;Attività di musei e collezioni;Museum and collection activities;Museen und Sammlungen
91.21.0;Attività di musei e collezioni;Museum and collection activities;Museen und Sammlungen
91.21.00;Attività di musei e collezioni;Museum and collection activities;Museen und Sammlungen
91.22;Attività di luoghi e monumenti storici;Historical site and monument activities;Historische Stätten und Denkmäler
91.22.0;Attività di luoghi e monumenti storici;Historical site and monument activities;Historische Stätten und Denkmäler
91.22.00;Attività di luoghi e monumenti storici;Historical site and monument activities;Historische Stätten und Denkmäler
91.3;Conservazione, restauro e altre attività di supporto al patrimonio culturale;Conservation, restoration and other support activities for cultural heritage;Konservierung, Restaurierung und sonstige unterstützende Tätigkeiten für das kulturelle Erbe
91.30;Conservazione, restauro e altre attività di supporto al patrimonio culturale;Conservation, restoration and other support activities for cultural heritage;Konservierung, Restaurierung und sonstige unterstützende Tätigkeiten für das kulturelle Erbe
91.30.0;Conservazione, restauro e altre attività di supporto al patrimonio culturale;Conservation, restoration and other support activities for cultural heritage;Konservierung, Restaurierung und sonstige unterstützende Tätigkeiten für das kulturelle Erbe
91.30.01;Conservazione e restauro del patrimonio culturale;Conservation and restoration of cultural heritage;Konservierung und Restaurierung des kulturellen Erbes
91.30.02;Creazione e gestione di apparecchiature multimediali per l'accompagnamento alle visite in musei e altri siti culturali;Creation and operation of multimedia equipment adapted for tours in museums and other cultural sites;Herstellung und Betrieb von multimedialen Geräten für Museums- und andere kulturelle Besichtigungen
91.30.09;Altre attività di supporto al patrimonio culturale;Other support activities for cultural heritage;Sonstige unterstützende Tätigkeiten für das kulturelle Erbe
91.4;Attività di orti botanici, giardini zoologici e riserve e parchi naturali;Botanical and zoological garden and nature reserve activities;Botanische und zoologische Gärten sowie Naturparks
91.41;Attività di orti botanici e giardini zoologici;Botanical and zoological garden activities;Botanische und zoologische Gärten
91.41.0;Attività di orti botanici e giardini zoologici;Botanical and zoological garden activities;Botanische und zoologische Gärten
91.41.00;Attività di orti botanici e giardini zoologici;Botanical and zoological garden activities;Botanische und zoologische Gärten
91.42;Attività di riserve e parchi naturali;Nature reserve activities;Naturparks
91.42.0;Attività di riserve e parchi naturali;Nature reserve activities;Naturparks
91.42.00;Attività di riserve e parchi naturali;Nature reserve activities;Naturparks
92;Attività di scommesse, lotterie e altri giochi d'azzardo;Gambling and betting activities;Spiel-, Wett- und Lotteriewesen
92.0;Attività di scommesse, lotterie e altri giochi d'azzardo;Gambling and betting activities;Spiel-, Wett- und Lotteriewesen
92.00;Attività di scommesse, lotterie e altri giochi d'azzardo;Gambling and betting activities;Spiel-, Wett- und Lotteriewesen
92.00.0;Attività di scommesse, lotterie e altri giochi d'azzardo;Gambling and betting activities;Spiel-, Wett- und Lotteriewesen
92.00.01;Gestione di apparecchi che consentono vincite in denaro funzionanti a moneta o a gettone;Operation (exploitation) of coin- or token-operated gambling machines;Betrieb von Glücksspielautomaten mit Münzen- oder Wertmarkeneinwurf, die keine Geldgewinne vorsehen
92.00.09;Altre attività di scommesse, lotterie e altri giochi d'azzardo;Other gambling and betting activities;Sonstige Tätigkeiten im Spiel-, Wett- und Lotteriewesen
93;Attività sportive, di intrattenimento e divertimento;Sports activities and amusement and recreation activities;Erbringung von Dienstleistungen des Sports, der Unterhaltung und der Erholung
93.1;Attività sportive;Sports activities;Erbringung von Dienstleistungen des Sports
93.11;Gestione di impianti sportivi;Operation of sports facilities;Betrieb von Sportanlagen
93.11.1;Gestione di piscine;Operation of swimming pools;Betrieb von Schwimmbädern
93.11.10;Gestione di piscine;Operation of swimming pools;Betrieb von Schwimmbädern
93.11.9;Gestione di altri impianti sportivi;Operation of other sports facilities;Betrieb von sonstigen Sportanlagen
93.11.90;Gestione di altri impianti sportivi;Operation of other sports facilities;Betrieb von sonstigen Sportanlagen
93.12;Attività dei club sportivi;Activities of sports clubs;Sportvereine
93.12.0;Attività dei club sportivi;Activities of sports clubs;Sportvereine
93.12.00;Attività dei club sportivi;Activities of sports clubs;Sportvereine
93.13;Attività dei centri di fitness;Activities of fitness centres;Fitnesszentren
93.13.0;Attività dei centri di fitness;Activities of fitness centres;Fitnesszentren
93.13.01;Attività di studi di yoga, pilates e Tai Chi;Activities of yoga, pilates and tai chi studios;Yoga-, Pilates- und Tai-Chi-Zentren
93.13.09;Altre attività dei centri di fitness;Other activities of fitness centres;Sonstige Fitnesszentren
93.19;Attività sportive n.c.a.;Sports activities n.e.c.;Erbringung von Dienstleistungen des Sports a. n. g.
93.19.1;Attività di organizzazioni ed enti sportivi e promozione di eventi sportivi;Activities of sport governing bodies and activities related to promotion of sporting events;Körperschaften und Vereinigungen im Sportbereich und in der Organisation von Sportveranstaltungen
93.19.10;Attività di organizzazioni ed enti sportivi e promozione di eventi sportivi;Activities of sport governing bodies and activities related to promotion of sporting events;Körperschaften und Vereinigungen im Sportbereich und in der Organisation von Sportveranstaltungen
93.19.9;Altre attività sportive n.c.a.;Other sports activities n.e.c.;Erbringung von sonstigen Dienstleistungen des Sports a. n. g.
93.19.91;Attività di ricarica di bombole per attività subacquee;Refilling of scuba diving tanks activities;Nachfüllen von Sauerstoffflaschen für Taucher
93.19.92;Attività di guida alpina;Activities of mountain guides;Bergführer
93.19.93;Attività di guida di pesca;Activities of fishing guides;Angelführer
93.19.99;Altre attività sportive varie n.c.a.;Other various sports activities n.e.c.;Erbringung von allen anderen Dienstleistungen des Sports a. n. g.
93.2;Attività di intrattenimento e divertimento;Amusement and recreation activities;Erbringung von sonstigen Dienstleistungen der Unterhaltung und der Erholung
93.21;Attività dei parchi di divertimento e dei parchi tematici;Activities of amusement parks and theme parks;Vergnügungs- und Themenparks
93.21.0;Attività dei parchi di divertimento e dei parchi tematici;Activities of amusement parks and theme parks;Vergnügungs- und Themenparks
93.21.00;Attività dei parchi di divertimento e dei parchi tematici;Activities of amusement parks and theme parks;Vergnügungs- und Themenparks
93.29;Attività di intrattenimento e divertimento n.c.a.;Amusement and recreation activities n.e.c.;Erbringung von sonstigen Dienstleistungen der Unterhaltung und der Erholung a. n. g.
93.29.1;Gestione di piste e sale da ballo;Operation of dance floors and ballrooms;Betrieb von Tanzlokalen
93.29.10;Gestione di piste e sale da ballo;Operation of dance floors and ballrooms;Betrieb von Tanzlokalen
93.29.2;Gestione di stabilimenti balneari;Operation of bathing beaches;Betrieb von Badeanstalten
93.29.20;Gestione di stabilimenti balneari;Operation of bathing beaches;Betrieb von Badeanstalten
93.29.3;Gestione di apparecchi da intrattenimento che non consentono vincite in denaro funzionanti a moneta o a gettone;Operation of coin-operated or token-operated non-money-winning amusement machines;Betrieb von Unterhaltungsspielgeräten mit Münzen- oder Wertmarkeneinwurf, die keine Geldgewinne vorsehen
93.29.30;Gestione di apparecchi da intrattenimento che non consentono vincite in denaro funzionanti a moneta o a gettone;Operation of coin-operated or token-operated non-money-winning amusement machines;Betrieb von Unterhaltungsspielgeräten mit Münzen- oder Wertmarkeneinwurf, die keine Geldgewinne vorsehen
93.29.9;Altre attività di intrattenimento e divertimento n.c.a.;Other amusement and recreation activities n.e.c.;Erbringung von sonstigen weiteren Dienstleistungen der Unterhaltung und der Erholung a. n. g.
93.29.91;Gestione di attrazioni e attività di spettacolo in forma itinerante;Non-permanent and non-site-based operation of a variety of attractions;Betrieb von wandernden Attraktionen und Schauspieltätigkeiten
93.29.99;Altre attività varie di intrattenimento e divertimento n.c.a.;Other various amusement and recreation activities n.e.c.;Erbringung von allen anderen Dienstleistungen der Unterhaltung und der Erholung a. n. g.
T;ALTRE ATTIVITÀ DI SERVIZI;OTHER SERVICE ACTIVITIES;ERBRINGUNG VON SONSTIGEN DIENSTLEISTUNGEN
94;Attività delle organizzazioni associative;Activities of membership organisations;Interessenvertretungen sowie kirchliche und sonstige religiöse Vereinigungen, ohne Sozialwesen und Sport
94.1;Attività di organizzazioni di imprese, dei datori di lavoro e professionali;Activities of business, employers and professional membership organisations;Wirtschafts- und Arbeitgeberverbände, Berufsorganisationen
94.11;Attività di organizzazioni di imprese e dei datori di lavoro;Activities of business and employers membership organisations;Wirtschafts- und Arbeitgeberverbände
94.11.0;Attività di organizzazioni di imprese e dei datori di lavoro;Activities of business and employers membership organisations;Wirtschafts- und Arbeitgeberverbände
94.11.00;Attività di organizzazioni di imprese e dei datori di lavoro;Activities of business and employers membership organisations;Wirtschafts- und Arbeitgeberverbände
94.12;Attività delle organizzazioni professionali;Activities of professional membership organisations;Berufsorganisationen
94.12.1;Attività di ordini e collegi professionali;Activities of professional membership organisations whose membership as members is essential for the practice of the profession;Berufskammern und -kollegien
94.12.10;Attività di ordini e collegi professionali;Activities of professional membership organisations whose membership as members is essential for the practice of the profession;Berufskammern und -kollegien
94.12.2;Attività di associazioni professionali;Activities of other professional membership organisations;Berufsverbände
94.12.20;Attività di associazioni professionali;Activities of other professional membership organisations;Berufsverbände
94.2;Attività dei sindacati di lavoratori;Activities of trade unions;Arbeitnehmervereinigungen
94.20;Attività dei sindacati di lavoratori;Activities of trade unions;Arbeitnehmervereinigungen
94.20.0;Attività dei sindacati di lavoratori;Activities of trade unions;Arbeitnehmervereinigungen
94.20.00;Attività dei sindacati di lavoratori;Activities of trade unions;Arbeitnehmervereinigungen
94.9;Attività di altre organizzazioni associative;Activities of other membership organisations;Kirchliche Vereinigungen; politische Parteien sowie sonstige Interessenvertretungen und Vereinigungen
94.91;Attività delle organizzazioni religiose;Activities of religious organisations;Kirchliche und sonstige religiöse Vereinigungen
94.91.0;Attività delle organizzazioni religiose;Activities of religious organisations;Kirchliche und sonstige religiöse Vereinigungen
94.91.00;Attività delle organizzazioni religiose;Activities of religious organisations;Kirchliche und sonstige religiöse Vereinigungen
94.92;Attività delle organizzazioni politiche;Activities of political organisations;Politische Parteien und Vereinigungen
94.92.0;Attività delle organizzazioni politiche;Activities of political organisations;Politische Parteien und Vereinigungen
94.92.00;Attività delle organizzazioni politiche;Activities of political organisations;Politische Parteien und Vereinigungen
94.99;Attività di altre organizzazioni associative n.c.a.;Activities of other membership organisations n.e.c.;Sonstige Interessenvertretungen und Vereinigungen a. n. g.
94.99.1;Attività di organizzazioni associative per la tutela degli interessi e dei diritti dei cittadini;Activities of organisations for the protection of citizens and consumers;Vereinigungen zum Schutz der Bürgerinteressen und -rechte
94.99.10;Attività di organizzazioni associative per la tutela degli interessi e dei diritti dei cittadini;Activities of organisations for the protection of citizens and consumers;Vereinigungen zum Schutz der Bürgerinteressen und -rechte
94.99.2;Attività di organizzazioni associative culturali e ricreative;Activities of cultural and recreational organisations;Kultur- und Freizeitvereine
94.99.20;Attività di organizzazioni associative culturali e ricreative;Activities of cultural and recreational organisations;Kultur- und Freizeitvereine
94.99.3;Attività di organizzazioni associative a scopo patriottico;Activities of organisations for patriotic purposes;Vereinigungen mit patriotischen Zielsetzungen
94.99.30;Attività di organizzazioni associative a scopo patriottico;Activities of organisations for patriotic purposes;Vereinigungen mit patriotischen Zielsetzungen
94.99.4;Attività di organizzazioni associative per la cooperazione internazionale;Activities of international cooperation and solidarity organisations;Vereinigungen für die internationale Zusammenarbeit und Solidarität
94.99.40;Attività di organizzazioni associative per la cooperazione internazionale;Activities of international cooperation and solidarity organisations;Vereinigungen für die internationale Zusammenarbeit und Solidarität
94.99.5;Attività di organizzazioni associative filantropiche;Activities of philanthropic and voluntarism promotion organisations;Philanthropische Vereinigungen
94.99.50;Attività di organizzazioni associative filantropiche;Activities of philanthropic and voluntarism promotion organisations;Philanthropische Vereinigungen
94.99.6;Attività di organizzazioni associative per la promozione e la difesa degli animali e dell'ambiente;Activities of organisations for the protection of environmental and animals;Tier- und Umweltschutzvereine
94.99.60;Attività di organizzazioni associative per la promozione e la difesa degli animali e dell'ambiente;Activities of organisations for the protection of environmental and animals;Tier- und Umweltschutzvereine
94.99.9;Attività di altre organizzazioni associative varie n.c.a.;Activities of other various membership organisations n.e.c.;Sonstige verschiedene Interessenvertretungen und Vereinigungen a. n. g.
94.99.90;Attività di altre organizzazioni associative varie n.c.a.;Activities of other various membership organisations n.e.c.;Sonstige verschiedene Interessenvertretungen und Vereinigungen a. n. g.
95;Riparazione e manutenzione di computer, beni per uso personale e per la casa, autoveicoli e motocicli;Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles;Reparatur und Instandhaltung von Datenverarbeitungsgeräten und Gebrauchsgütern sowie von Kraftwagen und Krafträdern
95.1;Riparazione e manutenzione di computer e di apparecchiature per le comunicazioni;Repair and maintenance of computers and communication equipment;Reparatur und Instandhaltung von Datenverarbeitungs- und Telekommunikationsgeräten
95.10;Riparazione e manutenzione di computer e di apparecchiature per le comunicazioni;Repair and maintenance of computers and communication equipment;Reparatur und Instandhaltung von Datenverarbeitungs- und Telekommunikationsgeräten
95.10.1;Riparazione e manutenzione di computer e periferiche;Repair and maintenance of computers and peripheral equipment;Reparatur und Instandhaltung von Datenverarbeitungsgeräten und peripheren Geräten
95.10.10;Riparazione e manutenzione di computer e periferiche;Repair and maintenance of computers and peripheral equipment;Reparatur und Instandhaltung von Datenverarbeitungsgeräten und peripheren Geräten
95.10.2;Riparazione e manutenzione di apparecchiature per le comunicazioni;Repair and maintenance of communication equipment;Reparatur und Instandhaltung von Telekommunikationsgeräten
95.10.21;Riparazione e manutenzione di telefoni e tablet;Repair and maintenance of telephones and tablets;Reparatur und Instandhaltung von Telefongeräten und Tablets
95.10.29;Riparazione e manutenzione di altre apparecchiature per le comunicazioni;Repair and maintenance of other communication equipment;Reparatur und Instandhaltung von sonstigen Telekommunikationsgeräten
95.2;Riparazione e manutenzione di beni per uso personale e per la casa;Repair and maintenance of personal and household goods;Reparatur und Instandhaltung von Gebrauchsgütern
95.21;Riparazione e manutenzione di prodotti di elettronica di consumo;Repair and maintenance of consumer electronics;Reparatur und Instandhaltung von Geräten der Unterhaltungselektronik
95.21.0;Riparazione e manutenzione di prodotti di elettronica di consumo;Repair and maintenance of consumer electronics;Reparatur und Instandhaltung von Geräten der Unterhaltungselektronik
95.21.00;Riparazione e manutenzione di prodotti di elettronica di consumo;Repair and maintenance of consumer electronics;Reparatur und Instandhaltung von Geräten der Unterhaltungselektronik
95.22;Riparazione e manutenzione di elettrodomestici e di articoli per la casa e il giardinaggio;Repair and maintenance of household appliances and home and garden equipment;Reparatur und Instandhaltung von elektrischen Haushaltsgeräten und Gartengeräten
95.22.0;Riparazione e manutenzione di elettrodomestici e di articoli per la casa e il giardinaggio;Repair and maintenance of household appliances and home and garden equipment;Reparatur und Instandhaltung von elektrischen Haushaltsgeräten und Gartengeräten
95.22.01;Riparazione e manutenzione di elettrodomestici;Repair and maintenance of household appliances;Reparatur und Instandhaltung von elektrischen Haushaltsgeräten
95.22.02;Riparazione e manutenzione di articoli per la casa e il giardinaggio;Repair and maintenance of home and garden equipment;Reparatur und Instandhaltung von Haushalts- und Gartengeräten
95.23;Riparazione e manutenzione di calzature e articoli in pelle;Repair and maintenance of footwear and leather goods;Reparatur und Instandhaltung von Schuhen und Lederwaren
95.23.0;Riparazione e manutenzione di calzature e articoli in pelle;Repair and maintenance of footwear and leather goods;Reparatur und Instandhaltung von Schuhen und Lederwaren
95.23.00;Riparazione e manutenzione di calzature e articoli in pelle;Repair and maintenance of footwear and leather goods;Reparatur und Instandhaltung von Schuhen und Lederwaren
95.24;Riparazione e manutenzione di mobili e di oggetti di arredamento per la casa;Repair and maintenance of furniture and home furnishings;Reparatur und Instandhaltung von Möbeln und Einrichtungsgegenständen
95.24.0;Riparazione e manutenzione di mobili e di oggetti di arredamento per la casa;Repair and maintenance of furniture and home furnishings;Reparatur und Instandhaltung von Möbeln und Einrichtungsgegenständen
95.24.01;Rivestimento di mobili e oggetti di arredamento per la casa imbottiti;Reupholstering of furniture and home furnishings;Beziehen von Polstermöbeln und Einrichtungsgegenständen
95.24.09;Altre attività di riparazione e manutenzione di mobili e di oggetti di arredamento per la casa;Other repair and maintenance of furniture and home furnishings;Sonstige Reparatur und Instandhaltung von Möbeln und Einrichtungsgegenständen
95.25;Riparazione e manutenzione di orologi e gioielli;Repair and maintenance of watches, clocks and jewellery;Reparatur und Instandhaltung von Uhren und Schmuck
95.25.0;Riparazione e manutenzione di orologi e gioielli;Repair and maintenance of watches, clocks and jewellery;Reparatur und Instandhaltung von Uhren und Schmuck
